Company Name	company contact	company email	company phone	Address	City	State	Postcode	Industry	Industry descr	Company Type	Current fulltime	Job created	Job retain	Effective Date	Total Savings	Savings from beginning receiving benefits	Borough	Latitude	Longitude	Community Board	Council District	Census Tract	BIN	BBL	NTA
ABEL CINE TECH, INC.	Rich Abel	rich@abelcine.com	6469339992	88 35th St, 4th Fl	Brooklyn	NY	11232	Commercial	Rental, resale and service motion picture cameras and accessories	ECSP	86.0			04/02/2020	5268.09	16944.18	Brooklyn	40.656475	-74.006484	307.0	38.0	18.0	3336903.0	3006910001.0	Sunset Park West
ACCENTURE LLP	Tracy Lesnau	tracy.lesnau@accenture.com	9259745848	219 36th Street	Brooklyn	NY	11232	Commercial	Global consulting firm	ECSP	63.0			04/03/2019	11789.99	16571.14	Brooklyn	40.656077	-74.007331	307.0	38.0	18.0	3345565.0	3006910001.0	Sunset Park West
ADP OAK POINT LLC	Peter Latta	platta@aduiepyle.com	6103503006	500 Oak Point  Avenue	Bronx	NY	10474	Commercial		ECSP	0.0			03/06/2018	23372.88	71277.45	Bronx	40.80901	-73.894096	202.0	17.0	93.0	2128941.0	2026060002.0	Hunts Point
AECOM TECHNICAL SERVICES INC	Sarah Robinson	sarah.robinson1@consultant.aecom.com	2128960109	220 36th St, Suite 2-5-A	Brooklyn	NY	11232	Commercial	design and construction management	ECSP	27.0			05/01/2020	1868.34	8412.79	Brooklyn	40.656061	-74.007334	307.0	38.0	2.0	3398687.0	3006950020.0	Sunset Park West
AESTHETONICS, INC.	EILEEN NEYMAN	eileen@remains.com	6467232477	21-29 Belvidere Street	Brooklyn,	NY	11206	Manufacturing		ECSP	32.0			03/12/2009	6393.98	128478.96	Brooklyn	40.698747	-73.936863	304.0	34.0	389.0	3071776.0	3031350036.0	Bushwick South
AFRICAN SERVICES COMMITTEE, INC.	Muna Hamouie	munah@africanservices.com	2122223882	423-429 W 127th Street	New YOrk	NY	10027	Commercial	Provider of Social Services	ECSP	32.0			12/09/2011	2508.11	18387.23	New York	40.812964	-73.953759	109.0	7.0	21303.0	1084105.0	1019670060.0	Manhattanville
AIDS VACCINE ADVOCACY COALITION	Marie Semmelbeck	marie@avac.org	6463691476	423-429 W 127th Street	New York	NY	10027	Commercial	Provides information, education and advocacy for HIV /AIDS prevention.	ECSP	13.0			11/07/2011	1467.64	13929.45	New York	40.812964	-73.953759	109.0	7.0	21303.0	1084105.0	1019670060.0	Manhattanville
ALCHEMY PAINTWORKS LLC	Heather Kelly	heather@alchemypaintworks.com	7184840214	1102 Atlantic Avenue, Unit 1C	Brooklyn	NY	11238	Commercial	Provides spray coatings for art and industry, specializing in paint finishing for metal sculpture as well as repair and restoration	ECSP	2.0			01/21/2016	2112.96	12030.29	Brooklyn	40.679518	-73.956819	308.0	35.0	305.0	3027572.0	3011260029.0	Crown Heights North
ALL CITY METAL, INC.	Frank Buccola	Johnmd@allcitymetal.com	7184725700	54-35 46th Street	Long Island City	NY	11101	Manufacturing	Sheet Metal design and fabrication	ECSP	65.0			05/15/2015	25418.76	118916.37	Queens	40.730657	-73.922148	402.0	30.0	205.0	4058877.0	4025460001.0	Hunters Point-Sunnyside-West Maspeth
ALLIED SAMPLE CARDS CO., INC.	MARC TRAGER	alliedsamplecard@netzero.net	7182380523	140 58th St, Bldg A, Suite 3M	Brooklyn	NY	11220	Manufacturing	MGF OF FOLDERS, FBR BKS	ECSP	17.0			07/03/2014	512.84	14654.07	Brooklyn	40.645338	-74.022864	307.0	38.0	18.0	3414976.0	3057780001.0	Sunset Park West
ALLISON EDEN STUDIOS	Garry Goldstein	garry@allisoneden.comP	2122439944	164 Cook Street	Brooklyn	NY	11206	Manufacturing	Installer of wood cabinets	ECSP	6.0			12/05/2017	1586.41	4103.81	Brooklyn	40.70288	-73.936405	301.0	34.0	485.0	3071626.0	3031230015.0	Bushwick South
ALLSTATE MEDICAL SUPPLIES LLC	Martin Weiss	martinw@allstatemedical.com	7183697100	34 35th Street, Unit B530	Brooklyn	NY	11232	Wholesale/Warehouse/Distribution	medical supplies for facilities	ECSP	24.0			02/21/2020	1538.23	6121.13	Brooklyn	40.657	-74.007356	307.0	38.0	18.0	3336903.0	3006910001.0	Sunset Park West
ALRUE IMPORT COPR.	Avi Shaul	avi@alrue.com	7183928877	10-40 45TH AVENUE	Long Island City	NY	11101	Manufacturing	Mfg. of Jewelry Setting	ECSP	6.0			06/07/2011	7448.69	78631.89	Queens	40.748053	-73.951224	402.0	26.0	7.0	4000411.0	4000500017.0	Hunters Point-Sunnyside-West Maspeth
AMERICAN BRIDGE COMPANY	Kwadwo Osi-Akoto	Amarkarian@americanbridge.net	5107742198	21-07 41st Avenue	Lond Island City	NY	11101	Commercial	Engineering construction for bridges	ECSP	15.0			06/04/2019	11592.42	12463.99	Queens	40.7539	-73.942228	401.0	26.0	33.0	4004973.0	4004100046.0	Queensbridge-Ravenswood-Long Island City
AMERICAN FOLK ART MUSEUM	Anne-Imelda Radice	areilly@folkartmuseum.org	2122651040	32-23 48th Avenue	Long Island City	NY	11101	Wholesale/Warehouse/Distribution	Fine Art Storage & Collection	ECSP	5.0			03/10/2015	8115.63	39891.42	Queens	40.740913	-73.93324	402.0	26.0	199.0	4003446.0	4002520001.0	Hunters Point-Sunnyside-West Maspeth
AMERICAN TRANSIT INSURANCE CO	Edward T McGettigan Jr.	cryan@american-transit.com	2128578200	One MetroTech Center	Brooklyn	NY	11201	Commercial	Insurance	ECSP	330.0			08/02/2012	44169.37	331784.18	Brooklyn	40.694059	-73.985741	302.0	33.0	11.0	3000000.0	3001420100.0	DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
AMY SCHERBER, INC.	AMY SCHERBER	amy@amysbread.com	2124622038	48-09 34th St.	Long Island City	NY	11101	Manufacturing	WHOLESALE BAKERY	ECSP	130.0			01/07/2013	33292.12	219841.25	Queens	40.740357	-73.93158	402.0	26.0	199.0	4003452.0	4002540036.0	Hunters Point-Sunnyside-West Maspeth
ANHEUSER BUSH	ED FITZMAURICE	steve.hunter@anhuser-busch.com	7183495805	500 Food Center Drive	Bronx	NY	10456	Wholesale/Warehouse/Distribution	Dist. of beers and ales	ECSP	294.0			07/06/2009	44334.3	861679.67	Bronx	40.805781	-73.871164	202.0	17.0	117.0			Hunts Point
APPROVED OIL CO. OF BROOKLYN, INC.	Vincent Theures	vincenttheures@approvedoil.com	7182381050	202-224 64th Street	Brooklyn	NY	11220	Commercial	Dist. of Heating Oil	ECSP	140.0			10/14/2010	2691.22	23570.39	Brooklyn	40.641028	-74.024841	307.0	38.0	22.0	3144127.0	3058160006.0	Sunset Park West
APTHORP CLEANERS, INC.	Debra Kravet	apthorpcleaners@gmail.com	7188661240	882 EAST 149TH STREET	BRONX	NY	10455	Commercial	Dry cleaner for drop stores	ECSP	21.0			12/03/2007	2297.44	96501.05	Bronx	40.81097	-73.903312	201.0	8.0	31.0	2004102.0	2026000206.0	Mott Haven-Port Morris
ARISTA COFFEE, INC.	Stephen Vouvoudakis	tom@aristacoffee.com	3474086012	59-01 55th Street	Maspeth	NY	11318	Commercial	Company is a roaster of coffee beans	ECSP	40.0			10/28/2016	12209.8	41763.52	Queens	40.716759	-73.913146	405.0	30.0	535.0	4059082.0	4026300001.0	Maspeth
ARMADA NEW YORK LLC	Cory Watson	cory@armadany.com	2677335445	141 Flushing Ave, Bldg 77, Unit 404	Brooklyn	NY	11205	Manufacturing	wood furniture	ECSP	10.0			05/20/2019	4385.8	7810.11	Brooklyn	40.697863	-73.971138	302.0	33.0	543.0	3335143.0	3020230001.0	park-cemetery-etc-Brooklyn
B. THAYER ASSOCIATES	Barbara  Thayer	bthayer@bthayerassociates.com	7189423320	37-18 Northern Blvd	Long Island City	NY	11101	Other	Landscape Architect	ECSP	4.0			01/02/2015	1244.62	6519.95	Queens	40.752096	-73.925887	401.0	26.0	171.0	4003103.0	4002140040.0	Hunters Point-Sunnyside-West Maspeth
B.C.S. INTERNATIONAL CORPORATION	Dae Hyun  Yoo	david@bcsroyal.com	7183923355	47-15 33rd St	Queens	NY	11101	Wholesale/Warehouse/Distribution	Groceries	ECSP	12.0			12/06/2007	4462.17	317144.12	Queens	40.742197	-73.932167	402.0	26.0	199.0	4311535.0	4002510015.0	Hunters Point-Sunnyside-West Maspeth
BACO ENTERPRISES, INC.	BARRY COHEN	eric@blindbuildersusa.com	7185896225	1190 LONGWOOD AVENUE	BRONX	NY	10474	Manufacturing	MFG. STEEL PRODUCTS	ECSP	106.0			12/04/2019	6425.63	10434.16	Bronx	40.813344	-73.891232	202.0	17.0	93.0	2006590.0	2027650056.0	Hunts Point
BALDOR SPECIALTY FOOD	Eileen Manitsas	eileen@baldorfood.com	7183044507	155 Food Center Drive	Bronx	NY	10474	Wholesale/Warehouse/Distribution	DST OF FRUITS & VEGGIES	ECSP	579.0			12/03/2008	132446.92	1776963.94	Bronx	40.809733	-73.872648	202.0	17.0	117.0	2101319.0	2027810500.0	Hunts Point
BARK FRAMEWORKS, INC.	Jared  Bark	jbark@barkframeworks.com	7187521919	21-24 44TH AVENUE	Queens	NY	11101	Manufacturing	MFG. (WOOD PRODUCTS)	ECSP	53.0			06/08/2015	18951.44	103539.43	Queens	40.74942	-73.946282	402.0	26.0	19.0	4005191.0	4004390027.0	Hunters Point-Sunnyside-West Maspeth
BARONE STEEL FABRICATORS, INC.	NICK BARONE	nbarone@baronesteel.com	7188324705	128 44th Street	BROOKLYN	NY	11232	Manufacturing	Fabricator and erector of structural steel	ECSP	57.0			02/12/2008	3283.98	167921.5	Brooklyn	40.65331	-74.014866	307.0	38.0	18.0	3320138.0	3007350050.0	Sunset Park West
BARRY X. BALL STUDIO, INC.	Barry Ball	lilla@barryxball.com	7187822319	193 Banker Street	Brooklyn	NY	11222	Manufacturing		ECSP	15.0			08/01/2018	19006.75	29709.76	Brooklyn	40.725029	-73.955523	301.0	33.0	561.0	3065495.0	3026160045.0	Greenpoint
BCGA CONCEPT CORPORATION	Terry Tang	terry@bcga.com	2124880661	465 Johnson Avenue	Brooklyn	NY	11237	Manufacturing	beverage mfg and bottling	ECSP	33.0			12/05/2019	15081.15	36814.35	Brooklyn	40.708212	-73.929482	301.0	34.0	449.0	3331486.0	3029740159.0	East Williamsburg
BENSON MILLS, INC.	GABE LEVY	gabe@bensonmills.com	7185321401	140 58TH ST. BLDG. A UNIT 7J	Brooklyn	NY	11220	Manufacturing	MANUFACTURING	ECSP	15.0			10/02/2009	1152.62	31675.14	Brooklyn	40.645338	-74.022864	307.0	38.0	18.0	3414976.0	3057780001.0	Sunset Park West
BERMUDA MOTOR CAR RENTING CO.	Robert A. Verdi	peter@bermudalimo.com	2122432591	21-30 44th Road	Long Island City	NY	11101	Commercial	Back Office	ECSP	90.0			06/08/2012	4879.42	39328.71	Queens	40.748624	-73.945972	402.0	26.0	19.0	4005184.0	4004380026.0	Hunters Point-Sunnyside-West Maspeth
BEST CASE & ACCESSORIES, INC.	MURRAY DANA	MDANA@BESTCASECELLULAR.COM	8003468746	140 58TH STREET	Brooklyn	NY	11220	Wholesale/Warehouse/Distribution	DISB. CELLULAR PHONES	ECSP	20.0			05/15/2015	4717.77	30851.48	Brooklyn	40.645338	-74.022864	307.0	38.0	18.0	3414976.0	3057780001.0	Sunset Park West
BEST CHOICE TRADING CORP	Lee Fung Fong	bestchoiceseafood@yahoo.com	7183662999	146 Stewart Avenue	Brooklyn	NY	11237	Wholesale/Warehouse/Distribution	Fresh, cured, or frozen fish and seafood	ECSP	24.0			03/09/2010	18965.75	304143.9	Brooklyn	40.711043	-73.926734	301.0	34.0	449.0	3258604.0	3029640044.0	East Williamsburg
BESTEC CONCEPT, INC.	Peter Kim	maxivision@msn.com	7189375848	140 58th Street, Bldg B #8D	Brookln	NY	11220	Manufacturing	Dress uniforms	ECSP	140.0			09/01/2016	22853.53	89502.63	Brooklyn	40.645338	-74.022864	307.0	38.0	18.0	3414976.0	3057780001.0	Sunset Park West
BIGHEAVY STUDIOS	Andrew Barnes	andrew@bigheavystudios.com	3472953222	1102 Atlantic Avenue	Brooklyn	NY	11238	Manufacturing	Manufacturer of visual displays for store windows	ECSP	8.0			03/15/2016	978.13	3684.2	Brooklyn	40.679518	-73.956819	308.0	35.0	305.0	3027572.0	3011260029.0	Crown Heights North
BIMMY'S LLC	ELLIOT FREAD	elliot@bimmys.com	7183613144	47-00 33rd Street	Long Island City	NY	11101	Manufacturing	MANUFACTURER	ECSP	192.0			03/09/2017	31803.62	96057.08	Queens	40.742386	-73.932148	402.0	26.0	199.0	4003447.0	4002520018.0	Hunters Point-Sunnyside-West Maspeth
BJORK CARLE WOODWORKING, INC.	Deirdre   Jones Bjork	bjorkcarle@earthlink.net	7184842347	1102 Atlantic Avenue, Unit 1A	Brooklyn	NY	11238	Manufacturing	cabinetry and architectural milwork	ECSP	6.0			04/25/2016	4232.34	22690.93	Brooklyn	40.679518	-73.956819	308.0	35.0	305.0	3027572.0	3011260029.0	Crown Heights North
BO BO POULTRY MARKET, INC.	Anita Lee	bobopoultry@gmail.com	7184170016	1311 Grand Street	Brooklyn	NY	11211	Manufacturing	Manufacture of poultry products and poultry processing plant	ECSP	32.0			02/01/2013	29983.97	210971.06	Brooklyn	40.715927	-73.924917	301.0	34.0	449.0			East Williamsburg
BOYCETECHNOLOGIES, INC.	Charles Boyce	nmenon@boycetech.com	718685252	47-22 Pearson Place	Long Island City	NY	11101	Manufacturing	Life Saving Communication Devices	ECSP	73.0			03/09/2017	90699.74	273099.33	Queens	40.742724	-73.942538	402.0	26.0	1.0	4000743.0	4000990010.0	Hunters Point-Sunnyside-West Maspeth
BREUCKELEN DISTILLING CO., INC.	Bradford Estabrooke	info@brkdistilling.com	3477254985	75-77 19th St, 1A First Floor	Brooklyn	NY	11232	Manufacturing	Distiller of Spirits	ECSP	1.0			03/16/2010	1242.38	27719.74	Brooklyn	40.665937	-73.997971	307.0	38.0	18.0	3336793.0	3006320004.0	Sunset Park West
BRIDGE PLAZA ASSOCIATES LLC	GARY KESNER	gkesner@silvercupstudios.com	7187843390	21-21 43RD AVE.	QUEENS	NY	11101	Manufacturing	Film Studio	ECSP	51.0			02/06/2019	20274.39	25201.79	Queens	40.750158	-73.944653	402.0	26.0	19.0	4005071.0	4004270011.0	Hunters Point-Sunnyside-West Maspeth
BROOKLYN IMMUNO THERAPEUTICS LLC	Cheryl Rau	crau@brooklynitx.com	2125821199	140 58th Street, Building A, Suite 2100	Brooklyn	NY	11220	Manufacturing	Drugs to fight cancer and other viral diseases	ECSP	8.0			11/14/2016	6034.54	16676.9	Brooklyn	40.645338	-74.022864	307.0	38.0	18.0	3414976.0	3057780001.0	Sunset Park West
BROOKLYN NETS	Jeffrey Gewirtz	jgewitrtzbrooklynnets.com	7189429544	146-168 39th Street	Brooklyn	NY	11216	Commercial	Administrative Back office	ECSP	62.0			06/13/2016	141833.39	2197349.92	Brooklyn	40.655973	-74.01167	307.0	38.0	18.0			Sunset Park West
BROOKLYN WHOLESALE BAKERY LLC	Seth Zalkin	zalkin@brooklynbrands.com	2126331399	828 East 144th Street	Bronx	NY	10454	Wholesale/Warehouse/Distribution	Commercial bakery	ECSP	252.0			02/08/2018	50745.61	108176.8	Bronx	40.808975	-73.907159	201.0	8.0	31.0	2097197.0	2025990035.0	Mott Haven-Port Morris
BRUNETTI & BRUNETTI LLC	Cheryl Brunetti		2129513501	40 Rector Street	NY	NY	10006	Commercial		ECSP	123.0			01/02/2013	10858.38	35001.67	New York	40.708356	-74.014814	101.0	1.0	13.0	1088750.0	1000557501.0	Battery Park City-Lower Manhattan
BURDEN, LLC	Jonathan Burden	info@jonathanburden.com	2129418247	47-20 33rd Street	Long Island City	NY	11101	Manufacturing	Manufacture and refurbisher of furniture	ECSP	6.0			12/07/2016	1158.02	2874.67	Queens	40.742122	-73.932203	402.0	26.0	199.0	4003447.0	4002520018.0	Hunters Point-Sunnyside-West Maspeth
CAPLES JEFFERSON ARCHITECTS, PC	Sara  Caples	sarac@capjeff.com	2127799772	37-18 Northern Blvd.	Queens	NY	11101	Commercial	architectural services, bldg design	ECSP	6.0			10/30/2011	549.56	5972.73	Queens	40.752096	-73.925887	401.0	26.0	171.0	4003103.0	4002140040.0	Hunters Point-Sunnyside-West Maspeth
CARNEGIE LINEN SERVICES, INC.	ERIC SCHWEITZER	ericschweitzer@carnegielinen.com	7184022499	874 EAST 139TH STREET	Bronx	NY	10454	Commercial	COMMERCIAL	ECSP	20.0	5.0	20.0	11/06/2007	3057.76	202990.89	Bronx	40.803371	-73.907629	201.0	17.0	19.0	2004038.0	2025980001.0	Mott Haven-Port Morris
CASUAL FILMS, INC.	Barnaby Cook	barnaby@casualfilms.com	2127964933	141 Flushing Ave, Bldg 77, Ste #902	Brooklyn	NY	11205	Manufacturing	film production and post production	ECSP	17.0			04/19/2019	1340.05	2606.63	Brooklyn	40.697863	-73.971138	302.0	33.0	543.0	3335143.0	3020230001.0	park-cemetery-etc-Brooklyn
CAVCO ROOFING, INC.	Robert Cavallino	rob@cavcoroofing.com	7182652551	338 37TH STREET	Brooklyn	NY	11232	Wholesale/Warehouse/Distribution	roof fabricator & contractor	ECSP	8.0			06/12/2009	235.26	4394.39	Brooklyn	40.654403	-74.006109	307.0	38.0	84.0	3000000.0	3007000019.0	Sunset Park West
CHASE BANK, N.A.	Edward P Rooney	edward.p.rooney@chase.com	2126220004	Three and Four Chase Metrotech Center	Brooklyn	NY	11201	Commercial	Financial Services	ECSP	3225.0			07/03/2017	405875.22	3098630.05	Brooklyn	40.694059	-73.985741	302.0	33.0	11.0	3000000.0	3001420100.0	DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
CHELSEA PLASTICS CORP/PLEXI-CRAFT QUALITY PRODUCTS	Allen Frechter	allen@plexi-craft.com	2129243244	30-02 48th Avenue	Long Island City	NY	11101	Manufacturing	Acrylic furniture	ECSP	15.0			03/31/2016	11775.69	45530.62	Queens	40.741426	-73.937833	402.0	26.0	199.0	4003546.0	4002870011.0	Hunters Point-Sunnyside-West Maspeth
CHRISTIE'S FINE ART STORAGE SERVICES, INC	Tim Yule	tyule@christies.com	2126362479	62 Imlay Street	Brooklyn	NY	11231	Wholesale/Warehouse/Distribution	Fine Arts & Antique storage	ECSP	9.0			11/28/2012	113206.94	637206.9	Brooklyn	40.682405	-74.008148	306.0	38.0	53.0	3008286.0	3005150050.0	Carroll Gardens-Columbia Street-Red Hook
CHRISTIE'S INC.	Edward Dolman	jkuduk@christies.com	2126362602	32-35 48th Avenue	Long Island City	NY	11101	Wholesale/Warehouse/Distribution	Commercial Auction house and warehouse	ECSP	40.0			06/07/2011	14656.28	341927.86	Queens	40.740902	-73.933139	402.0	26.0	199.0	4003446.0	4002520001.0	Hunters Point-Sunnyside-West Maspeth
CITY BAKING LLC AKA BAKERY CITY LLC	Barry Blaine	citybaking@aol.com	7183928514	10-41 45th Avenue	Long Island City	NY	11101	Wholesale/Warehouse/Distribution	Commercial Baker	ECSP	19.0			07/08/2014	9463.36	49780.68	Queens	40.748069	-73.951216	402.0	26.0	7.0	4000427.0	4000510016.0	Hunters Point-Sunnyside-West Maspeth
COLLINS BUILDING SERVICES, INC.	Arthur J. Viviani	Aviviani@cbs-collins.com	2128965144	24-01 44th Road	Long Island City	NY	11101	Commercial	Janitorial services firm	ECSP	2424.0			10/03/2008	619.16	40423.96	Queens	40.748206	-73.943731	402.0	26.0	19.0	4005157.0	4004350001.0	Hunters Point-Sunnyside-West Maspeth
COMP TRADING LLC	Michael Sasson	michael@mtmsalescorp.com	2015201366	241 37th St. Suite B460	Brooklyn	NY	11232	Wholesale/Warehouse/Distribution	Supply Casino with promotional/giveaways	ECSP	4.0			12/03/2019	1387.94	2741.38	Brooklyn	40.6558	-74.008408	307.0	38.0	2.0	3336906.0	3006950001.0	Sunset Park West
COMPUTER SERVICES GROUP, INC.	Boris Khutoretsky	borisk@csgny.com	2128190122	37-24 24th Street, Suite 340	Long Island City	NY	11101	Manufacturing	Provides IT solutions to businesses	ECSP	20.0			09/01/2016	1698.03	5710.21	Queens	40.757018	-73.935833	401.0	26.0	33.0	4439111.0	4003660001.0	Queensbridge-Ravenswood-Long Island City
CONCEPT FARM, INC.	Griffin Stenger	angel@conceptfarm.com	2124639939	11-25 44th Road	Long Island City	NY	11101	Manufacturing	Advertsing service and video production	ECSP	18.0			03/08/2018	4902.69	14171.29	Queens	40.749237	-73.949061	402.0	26.0	19.0	4005223.0	4004460021.0	Hunters Point-Sunnyside-West Maspeth
CONSTITUTION REALTY LLC (LDMK)	Joe Dorio		2123442151	26 Broadway	New York	NY	10004	Landlord		ECSP	2675.0			03/05/2009	172185.05	2827023.71	New York	40.70568	-74.013302	101.0	1.0	9.0	1000811.0	1000220013.0	Battery Park City-Lower Manhattan
CORONET PARTS MANUFACTURING CO. INC	Jeffrey Rodolitz	jeff@coronetparts.com	7186490710	883-901 Elton St	Brooklyn	NY	11208	Manufacturing	Brass fittings for te automotive, plumbing and refrigeration industries	ECSP	78.0			10/17/2007	2261.28	292488.18	Brooklyn	40.661508	-73.877722	305.0	42.0	1116.0	3327447.0	3043830003.0	East New York
COSMOS COMMUNICATIONS	Jack   Weiss	jweiss@cosmoscommunications.com	7184821800	11-05 44TH DRIVE	Queens	NY	11101	Manufacturing	MFG. (PRINTING)	ECSP	65.0			02/06/2008	4642.13	458645.3	Queens	40.748483	-73.949285	402.0	26.0	19.0	4005233.0	4004470021.0	Hunters Point-Sunnyside-West Maspeth
COTRONICS CORPORATION	Renee Bernstein	Renee@cotronics.com	7187885533	131 47th Street	Brooklyn	NY	11232	Manufacturing	Manufactures and distrbutes high temper materials and condutive adhesives	ECSP	18.0			05/15/2013	5096.14	30949.25	Brooklyn	40.65163	-74.016574	307.0	38.0	18.0	3322614.0	3007350120.0	Sunset Park West
CREPINI, LLC	Eric Shkolnik	paula@crepini.com	7183720505	5600 1st Avenue	Brooklyn	NY	11220	Manufacturing	mfg branded line of crepes	ECSP	5.0			10/13/2011	5580.07	152892.17	Brooklyn	40.646985	-74.022721	307.0	38.0	18.0	3255737.0	3008190001.0	Sunset Park West
CRYSTAL LAKE TRADING, INC.	Peter Fung	pfung@crystallaketrading.com	7187590088	140 58th Street Bldg. B Unit 4B	Brooklyn	NY	11220	Manufacturing	Mfg. of Dresses	ECSP	3.0			11/01/2010	5012.6	106234.66	Brooklyn	40.645338	-74.022864	307.0	38.0	18.0	3414976.0	3057780001.0	Sunset Park West
D.C. CENTER CORP	Albert Lee	dccentercorp@gmail.com	7184725600	47-75 48th St.	Queens	NY	11377	Commercial	Commercial Dry Cleaning Plant	ECSP	28.0			10/14/2008	13411.51	366741.43	Queens	40.739695	-73.917482	402.0	26.0	235.0	4052953.0	4022860053.0	Hunters Point-Sunnyside-West Maspeth
